produto,total_vendas,receita_total
LIMPADOR MULTIUSO UAU CLORO ATIVO SQZ 500ML,120717.0,1228472.9
AGUA SANITARIA SUPREMA GF 2L,236431.0,1223026.13
SABAO EM PO TIXAN YPE MACIEZ SC 2.4KG,46221.78,1216657.85
AMACIANTE CONCENTRADO DOWNY FRESCOR DA PRIMAVERA FRASCO 1L,50854.999,1203069.0
DETERGENTE LIQUIDO MINUANO CLEAR 500ML,503119.9999,1182589.85
SABAO EM PO ASSIM TRIPLA ACAO 800G,134543.0,1176948.46
AMACIANTE CONCENTRADO DOWNY POUCH BRISA DE VERAO 750ML,68226.0,1166997.23
SABAO EM PO MINUANO MAXIMA LIMPEZA 2.2KG,53574.0,1158259.63
AMACIANTE DILUIDO YPE DELICADO 2L,118469.0,1150390.95
DESINFETANTE PINHO SOL ORIGINAL 500ML,124302.0,1148625.9
AMACIANTE DILUIDO GIRANDO SOL AZUL 5L,61180.0,1136701.55
LIMPADOR PERFUMADO UAU LAVANDA E CONFORTO PROMO20% 1L,135647.015,1134721.47
SABAO LIQUIDO URCA MAXX AZUL 3L,67959.0,1133884.43
"BRILHANTE SABAO EM PO HIG TOTAL SC 1,6KG",55314.0,1128178.23
SABAO LIQUIDO OMO PURO CUIDADO FR 3L,25650.0,1123237.92
AMACIANTE CONCENTRADO DOWNY POUCH BRISA INTENSO 750ML,65324.0,1120380.5
SABAO EM PO BRILHANTE LIMPEZA TOTAL LV1.6KG PG1.45KG 1.6KG,54849.0,1119782.35
SABAO LIQUIDO BRINORT SUPER CONCENTRADO 2L,109099.0,1093676.61
SABAO EM PO ASSIM TRIPLA ACAO COM BICARBONATO 2.2KG,54055.0,1088428.76
TIRA MANCHA VANISH PO S/CLORO OXI ACT CRYSTAL WHITE REF 400G,48833.0,1083828.14
"LIMPEZA PESADA CIF EM PO PROFISSIONAL SC 2,4KG",52721.0,1079869.68
SABAO EM PO BEM TE VI LAVANDA 400G,360566.3,1078688.43
AMACIANTE CONCENTRADO COMFORT FRESCOR INTENSO FRASCO 1L,44607.002,1076320.92
AGUA SANITARIA BRILUX LV1L PG900ML 1L,364075.0,1070805.15
SABAO EM PO BEM TE VI COCO CUIDADO ESTENDIDO 400G,355801.0,1068351.01
SABAO EM PO SURF 5EM1 LAVANDA PCT 800G,112028.0,1065587.24
DETERGENTE LIQUIDO MINUANO COCO 500ML,447097.735,1057755.04
SABAO EM PO ALA LAVANDA 800G,131220.0,1052178.51
"SABAO EM PO BRILHANTE CUIDADO TOTAL SC 1,6KG",50638.0,1051248.65
SABAO EM PO ASSIM BICARBONATO TRIPLACAO 1.6KG,72950.0,1049874.74
LIMPADOR MULTIUSO VEJA GOLD CAMPESTRE 10%DESC SQZ 500ML,191269.0,1038609.02
SABAO LIQUIDO AQUAFAST MULTIACAO 5L,31674.0,1038273.62
TIRA MANCHA VANISH GEL S/CLORO CRYSTAL WHITE 500ML,89824.499,1038129.99
LIMPADOR PERFUMADO UAU FLORES VERMELHAS PROMO20% 1L,123176.0,1034544.22
"SABAO EM PO BRILHANTE CUIDADO TOTAL CX 1,6KG",50344.0,1027777.14
AMACIANTE CONCENTRADO COMFORT TRADICIONAL FRASCO 500ML,82685.0,1023817.15
SABAO EM PO GIRANDO SOL OPTICAL WASH FLORAL PARIS 1.6KG,78309.5,1021883.48
SABAO EM PO ALA ERVA DOCE E BICARBONATO SACHE 400G,283617.0,1012706.65
AMACIANTE CONCENTRADO GIRANDO SOL AZUL 1L,60018.0,998932.22
"SABAO LIQUIDO UAU CHA BRANCO PERFUMADO 2,7L",37517.0,986600.97
AMACIANTE CONCENTRADO  DOWNY ALFAZEMA 500ML,90403.0,986370.04
TIRA MANCHA VANISH GEL REFIL 500ML,85261.0,983190.39
AMACIANTE CONCENTRADO COMFORT FRESCOR INTENSO SCH 400ML,137860.33333,982023.64
TIRA MANCHA GIRANDO SOL SEM CLORO 2L,79052.0,961897.47
DESENGORDURANTE VEJA COZINHA GOLD LIMAO 20%DESC 500ML,69865.0,961417.87
LIMPEZA PESADA DIABO VERDE DESENTUPIDOR PIAS E RALOS 300G,40548.81,960869.91
LIMPADOR PERFUMADO UAU CHA BRANCO PROMO20% 1L,113296.0,956954.0
LIMPADOR MULTIUSO UAU ROSAS E SEDUCAO SQZ 500ML,195821.999,956275.35
LIMPADOR MULTIUSO VEJA LAVANDA PG450ML LV500ML,175094.65,956233.24
SABAO EM PO MINUANO MAXIMA LIMPEZA 1.6KG,60993.0,943893.45
LIMPADOR MULTIUSO UAU LAVANDA 500ML,197229.0,936371.91
SABAO LIQUIDO OMO MULTIACA PODER ACEL 5L,15323.0,934718.78
"SABAO LIQUIDO OMO ULTRA POWER FRASCO 1,8L",29513.0,928474.21
LIMPADOR MULTIUSO VEJA GOLD FLORAL 10%DESC SQZ 500ML,169733.0,926876.87
SABAO EM PO GIRANDO SOL OPTICAL WASH COCO BAUNILHA 4KG,35693.0,918984.63
SABAO EM PO OMO LAVAGEM PERFEITA 1.6KG,37877.9999,918888.49
SABAO EM PO ALA ROSA E FLOR DE LIS 800G,113159.0,910743.16
SABAO EM PO GIRANDO SOL OPTICAL WASH FLORAL PARIS 800G,125007.0,909145.55
SABAO LIQUIDO OMO LAVANA SACHE REFIL ECON 900ML,56601.0,907023.07
SABAO LIQUIDO BECKER LAVA ROUPAS VERSATIL 3L,54414.0,901899.5
"AMACIANTE DILUIDO COMFORT TRADADICIONAL EXPLOSAO AZUL 1,8L",34852.0,899684.06
AMACIANTE CONCENTRADO DOWNY VERAO TROPICAL 500ML,72760.99994000001,896409.6
AMACIANTE DILUIDO YPE ACONCHEGO 500ML,223559.43800000002,895058.64
TIRA MANCHA VANISH PO S/CLORO OXI ACTION REFIL 400G,40692.0,894303.72
DESINFETANTE UAU ANTIBAC FLORES/FRUTAS VERMELHAS 10% DESC 2L,93765.954,890094.02
DETERGENTE LIQUIDO MINUANO MACA 500ML,372970.026,889671.3
SABAO EM PO BRILHANTE SC LIMPEZA TOTAL 400G,158042.0,888047.52
DESINFETANTE UAU ANTIBAC LAVANDA E ROSAS 2L,91079.0,879674.4
"SABAO EM PO OMO SANIT&HIG CX 1,6KG",31415.0,873444.23
SABAO EM PO BRILHANTE HIGIENE TOTAL SC 800G,70397.0,871343.97
AMACIANTE CONCENTRADO GIRANDO SOL HIPOALERGÊNICO 1L,52104.0,869597.08
DESINFETANTE PINHO SOL LAVANDA 1L,54061.0,868330.65
SABAO EM PO OMO LAVANDA 1.6KG,29786.9234,864985.53
SABAO EM PO OMO SANIT HIGIENIZA 800G,53262.0,863664.93
SABAO LIQUIDO BRILHANTE LIMPEZA TOTAL REFIL 1.8L,45215.0,857794.13
SABAO EM PO ALA CUIDADO DO COCO 5 EM 1 800G,106229.0,856583.35
AGUA SANITARIA SUPREMA GALAO 5L,87425.0,850934.43
OMO LAVA ROUPAS LIQ LAVAG PERF PRO GL 7L,11982.0,850093.38
AMACIANTE DILUIDO GIRANDO SOL AZUL 2L,98253.0,845142.65
AMACIANTE DILUIDO YPE INTENSO 5L,43951.0,843384.93
DESINFETANTE PINHO SOL ORIGINAL LV500ML PG450ML,100059.0,843179.68
DETERGENTE LIQUIDO MINUANO LIMAO 500ML,354628.0,841666.39
LIMPADOR ESSENCIA COALA LAVANDA 120ML,58837.0,826274.18
DESINFETANTE LYSOFORM BRUTO 1L,48968.0,823214.72
AMACIANTE CONCENTRADO DOWNY VERAO TROPICAL 1L,35993.0,819813.46
SABAO EM PO GIRANDO SOL OPTICAL WASH CUIDA PROTEGE 4KG,32168.5,818798.9
SABAO EM PO GIRANDO SOL OPTICAL WASH ROSA FLORAL 4KG,29098.5,815313.03
SABAO EM PO BRILHANTE CUIDADO TOTAL PCT 800G,63445.0,811802.64
SABAO EM PO OMO LAVAGEM PERFEITA GTS150G 1.6KG,30746.0,806825.94
"SABAO EM PO BRILHANTE 2,2KG",35619.0,805197.44
AMACIANTE CONCENTRADO COMFORT PURO CUIDADO FRASCO 900ML,42988.0,804974.86
"OMO SABAO EM PO SANIT&HIG CX 2,2KG",25738.0,804192.79
SABAO LIQUIDO GIRANDO SOL COCO BAUNILHA 2L,40353.0,800040.61
SABAO EM PO TIXAN YPE PRIMAVERA 2X800G+AMACIANTE CONC 500ML,35669.0,799392.67
DESINFETANTE UAU ANTIBAC FLORES E FRESCOR 10% DESC 2L,81507.0,783721.41
DETERGENTE LIQUIDO YPE NEUTRO 5L,30503.0,781452.57
LIMPADOR ESSENCIA COALA ORQUIDEA 120ML,54784.0,779820.68
"AMACIANTE CONCENTRADO DOWNY LIRIO DO CAMPO FRASCO 1,5L",24846.0,774321.68
"OMO SABAO EM PO LAVAG PERF SC 1,6KG",26886.0,769811.67
DESINFETANTE PINHO SOL ORIGINAL LV1L PV900ML 1L,50962.0,766398.0
"SABAO EM PO OMO PURO CUIDADO CX 1,6KG",25988.124,765041.61
SABAO EM PO TIXAN YPE PRIMAVERA LV4KG PG3.6KG 4KG,20189.0,763041.45
SABAO EM PO GOTA LIMPA HARMONIA 4KG,39376.0,761440.73
"AMACIANTE CONCENTRADO DOWNY BRISA SUAVE 1,5L",25607.0,759731.81
"AMACIANTE DILUIDO MON BIJOU MAIS PERFUME 1,7L",78017.0,759056.26
SABAO LIQUIDO TIXAN YPE PRIMAVERA RF 900ML,60890.0,746825.53
SABAO EM PO BRILHANTE HIGIENE TOTAL 1.6KG,37668.0,746757.64
SABAO LIQUIDO GIRANDO SOL ACAO TOTAL 3L,29551.0,746442.6
SABAO EM PO MINUANO AZUL 800G,76392.0,742380.35
AMACIANTE DILUIDO BABY SOFT TOQUE DE CARINHO 5L,41876.0,735766.36
AMACIANTE DILUIDO URCA BRISA PRIMAVERA 5L,55100.0,735443.97
LIMPADOR MULTIUSO VEJA POWER FUSION SQUEEZE LIMAO 500ML,73753.1,730329.02
LIMPADOR PERFUMADO CASA E PERFUME SENSUALIDADE 500ML,129516.0,724981.99
"AMACIANTE CONCENTRADO GIRANDO SOL AZUL 1,5L",33359.0,723722.23
LIMPEZA PESADA VEJA X-14 CLORO 2 EM 1 ATIVO 20%DESC 1L,39007.0,723064.57
"SABAO EM PO BRILHANTE LIMP TOTAL PCT 1,6KG",34051.0,710076.82
SABAO LIQ BRILHANTE ALTA PERFORMANCE 7L,12858.0,706383.99
SABAO LIQUIDO VIDA MACIA 1L,28013.0,703328.52
SABAO EM PO OMO BRANCO ABSOLUTO 720G,40384.0,699857.03
AMACIANTE CONCENTRADO DOWNY BRISA DE VERAO LV1 PG900 1L,30970.0,698686.43
"SABAO EM PO TIXAN YPE PRIMAVERA SC 1,3KG",43722.0,697688.54
LIMPADOR PERFUMADO UAU LAVANDA E CONFORTO 500ML,131840.0,696335.78
LIMPADOR PERFUMADO CASA E PERFUME SENSUALIDADE 1L,66643.0,694222.52
LIMPADOR PERFUMADO UAU BRISA E FRESCOR PROMO20% 1L,80281.725,692239.16
OMO LAVA ROUPAS LIQ LAVANDA GL 3L,15613.0,691659.38
"SABAO EM PO ACE SC 1,5KG",58502.0,689174.72
AMACIANTE CONCENTRADO DOWNY POUCH BRISA SUAVE 750ML,40136.076,685915.83
AMACIANTE DILUIDO VIDA MACIA CAMOMILA 1L,48890.0,681400.77
"AMACIANTE CONCENTRADO DOWNY ALFAZEMA 1,5L",27876.0,680036.86
SABAO EM PO BEM TE VI SUPER BRANCO 400G,226704.0,673152.97
SABAO LIQ OMO LAVAGEM PERFEITA SC REFIL 700ML,51601.0,671668.12
SABAO LIQUIDO GIRANDO SOL GLICERINA 2L,34386.5,670446.43
LIMPADOR PERFUMADO UAU FLORES VERMLEHAS 500ML,127731.78899999999,670419.86
DETERGENTE LIQUIDO MINUANO MARINE 500ML,281943.0,670044.02
