produto,total_vendas,receita_total
SABAO EM PO TIXAN YPE ANTIBAC CX 2KG,72.0,1282.6
LIMPADOR PET KDOG ELIMINADOR DE ODORES MARINE 2L,79.0,1282.48
LIMPADOR PET PRO CANINE ELIMINADOR DE ODORES HERBAL 2L,74.0,1281.06
LIMPEZA PESADA LIMPADUA PINHO GEL 2L,81.0,1280.59
DESINFETANTE NOVO LAR FLORAL 5L,97.0,1280.56
CLORO ECONOMICO 1L,460.0,1278.14
LIMPADOR ESSENCIA UBON EUCALIPTO 500ML,16.0,1277.63
DESINFETANTE KINTANA TALCO 2L,186.0,1277.04
DESINFETANTE PROLAR CITRONELA 2L,227.0,1277.01
DESINFETANTE UNIC FLORAL 2L,353.0,1276.96
DESINFETANTE CENAP FLORAL 2L,173.0,1276.79
DETERGENTE LIQUIDO ATUAL NEUTRO 1L,333.0,1274.63
CLORO VMAX 2% 1L,71.0,1273.79
LIMPADOR PERFUMADO RAJJALIM FLORES E DESEJOS 500ML,276.0,1273.46
LIMPADOR PERFUMADO LIMPA MIL PAIXAO 2L,149.0,1272.76
SABAO EM PO POLYLAR 1KG,145.0,1271.12
LIMPADOR DE VIDRO KIN LIMP REFIL 500ML,138.0,1270.8
SABAO EM PO KLIP COCO 500G,212.0,1270.72
LIMPADOR MULTIUSO LEVO TRADICIONAL 500ML,271.0,1270.63
DETERGENTE LIQUIDO SOL COCO 500ML,783.0,1269.51
LIMPADOR PERFUMADO RADIANTE FLORES DA PRIMAVERA 500ML,284.0,1269.49
TIRA MANCHA TAY SEM CLORO P/ROUPAS COLORIDAS 450G,64.0,1267.83
AMACIANTE DILUIDO SOFT AMARELO 2L,193.0,1267.77
AMACIANTE DILUIDO ECONOMICO SOFT BLUE 24X500ML,567.0,1267.73
DESINFETANTE PEPY CITRUS 2L,144.0,1267.64
DESINFETANTE MINUANO HERBAL 24X500ML,27.0,1267.49
DESINFETANTE PINHO SOL LAVANDA LV1L PG900ML 1L,79.0,1267.47
AGUA SANITARIA SUPER FORTE 5L,130.0,1265.64
DETERGENTE LIQUIDO AZULIM AMONIACA 2L,40.0,1265.49
DESINFETANTE ALVEJAX EUCALIPTO 5L,72.0,1265.43
DETERGENTE LIQUIDO NUTRILAR CONTIGO NEUTRO 500ML,785.0,1265.36
LIMPADOR ESSENCIA RAMAR MACA VERDE 140ML,116.0,1263.68
LIMPADOR PERFUMADO LEVE BRISA OCEAN 500ML,208.0,1263.02
SABAO LIQUIDO ISIS AZUL 2L,152.0,1262.78
ALVEJANTE TA BOA COM CLORO C/DETERGENTE 2L,112.0,1262.03
LAVA ROUPAS PO OMO 800G CX SPORTS,75.0,1261.74
AMACIANTE DILUIDO TANLUX FLORAL 2L,202.0,1260.78
SABAO EM PO MINUANO AZUL EMB ECONOMICA 24X400G,14.0,1260.69
DETERGENTE LIQUIDO NIDA COCO 500ML,513.0,1260.62
DESINFETANTE PONTAL LAVANDA 2L,161.0,1260.49
DESINFETANTE MONTE LAGOS EUCALIPTO BRANCO 2L,169.0,1260.39
LIMPADOR PERFUMADO CASAFLOR DESIRE 12X500ML,36.0,1259.91
LIMPEZA PESADA ZUPP LIMPA PORCELANATO 5L,36.0,1259.84
DESINFETANTE TOP MIL LAVANDA 2L,205.0,1259.54
CLORO LIQUIDO BRC 1 LT,262.0,1259.53
AGUA SANITARIA CONDE 5L,114.0,1259.45
LIMPADOR MULTIUSO NIDA ORIGINAL 500ML,312.0,1258.46
SABAO EM PO ACE ERVA DOCE PG500G LV550G 550G,37.006,1257.85
LIMPEZA PESADA UNIMIX LIMPA PEDRAS 2L,86.0,1257.47
DESINFETANTE JUMPOL MARINE 1L,393.0,1257.0
SABAO EM PO LIMPISSIMA COCO 500G,84.0,1255.64
SABAO EM PO BEM TE VI COCO 1KG,193.0,1255.47
AMACIANTE DILUIDO ESTRELA ERVA DOCE 2L,158.0,1255.31
DETERGENTE LIQUIDO LAVANDEIRA NEUTRO 2L,211.0,1255.01
DESINFETANTE EPORT FLORES DO CAMPO 1L,373.0,1254.85
ALVEJANTE REALY COM CLORO ATIVO 2L,128.0,1253.2
LIMPADOR ESSENCIA ANTARES EUCALIPTO 100ML,120.0,1251.61
"AMACIANTE DILUIDO ALPES EMOOES ROSA 3,6L",87.0,1251.06
DESENGORDURANTE DORIGON MULTIUSO 1L,82.0,1251.06
AMACIANTE DILUIDO GOTA FORTE AZUL 5L,95.0,1250.24
DESINFETANTE RADIANTE SENSACAO 2L,148.0,1249.01
DESINFETANTE ESTRELA EUCALIPITO 5L,75.0,1248.97
SABAO LIQUIDO DEION COCO 5L,38.0,1248.94
AMACIANTE CONCENTRADO SONHO MAGIC SACHE 400ML,202.0,1248.92
SABAO EM PO BRILHANTE LIMPEZA TOTAL 7X1.6KG,10.0,1248.8
ALVEJANTE ZAVASKI COM CLORO AROMA SUAVE 1L,296.0,1248.54
"SABAO EM PO ALA LAVANDA 7X1,6KG",16.0,1247.73
DETERGENTE LIQUIDO SOLIMP CRISTAL 2L,202.0,1246.6
SABAO LIQUIDO LIMPEZA FELIZ AZUL 2L,102.0,1246.38
DESINFETANTE CLARUS LIMAO 500ML,380.0,1245.91
SABAO LIQUIDO LIMP LAR COCO 2L,90.0,1245.44
AGUA SANITARIA BOM FORT 5L,108.0,1244.82
DETERGENTE LIQUIDO RETIRO LIMAO 500ML,689.0,1244.78
DESINFETANTE LIMPS LAVANDA 500ML,466.0,1244.53
SABAO LIQUIDO ZAVASKI LAVANDA 1L,121.0,1244.47
LIMPADOR DEOLINE GOTAS PERFUMADAS TALCO 140ML,123.0,1243.99
AMACIANTE DILUIDO GUNE ROSA TERNURA 2L,178.0,1243.38
AMACIANTE DILUIDO COMFORT  BRISA FLORAL 3L,45.0,1242.78
DETERGENTE LIQUIDO DAS NEVES NEUTRO 2L,171.0,1242.08
LIMPADOR PERFUMADO SAIF FLORAL 3L,59.0,1240.97
LIMPADOR PERFUMADO GUIMARAES BAMBOO 5L,39.0,1240.35
LIMPADOR MULTIUSO ESFRELUX FLOTADOR CONCENTRADO 2L,46.0,1240.21
"SABAO EM PO BEM TE VI PERFUME DAS FLORES 7X1,6KG",18.0,1240.2
DETERGENTE LIQUIDO MAXLIMP NEUTRO 2L,207.0,1239.55
LIMPADOR PERFUMADO LEVO AMORE 500ML,306.0,1238.83
REMOVEDOR SAFRA LAVANDA 1L,51.0,1238.66
LIMPEZA PESADA LIMBEL DESENGRAXANTE 5L,25.0,1237.84
SABAO LIQUIDO NOVO LAR COCO 2L,76.0,1237.57
AMACIANTE CONCENTRADO UAU FLORES E SONHOS 12X500ML,16.0,1237.56
LIMPADOR PERFUMADO GUIMARAES LAVADA C/CITRONELA 5L,32.0,1236.98
CLORO GRANULADO Q CLOR 1KG,46.0,1236.43
DESINFETANTE PEPY LAVANDA 1L,249.0,1236.05
LIMPADOR PET KDOG ELIMINADOR DE ODORES LAVANDA 2L,73.0,1235.79
SABAO LIQUIDO KLIP 3L,84.0,1235.44
ALVEJANTE DEION SEM CLORO AZUL 5L,45.0,1235.32
ALVEJANTE ZOMAX SEM CLORO 2L,82.0,1234.72
DETERGENTE LIQUIDO UNIC NEUTRO 500ML,989.0,1234.66
LIMPEZA PESADA H7 DESENGRAXANTE REFIL 500ML,38.0,1232.62
DETERGENTE LIQUIDO COMBATE LIMAO 2L,146.0,1232.61
"LAVA ROUPAS PO OMO 1,6KG PROT MICEL SEM PERFUME",45.0,1231.75
DESINFETANTE G LIMP LAVANDA 2L,266.0,1230.72
LIMPADOR MULTIUSO GEO COCO 500ML,168.0,1230.1
AMACIANTE DILUIDO ZAVASKI BRISA DO CAMPO 5L,63.0,1229.96
DESINFETANTE OSSOCAO ELIMINADOR ODORES 2L,71.0,1229.47
LIMPADOR MULTIUSO FACILLE FLORES SPRAY 500ML,317.0,1228.75
AGUA SANITARIA BRANMIX BRANCA 12X1L,51.0,1228.2
LIMPADOR ESSENCIA AMAZONIA CONC AROMAS EUCALIPTO 120ML,110.0,1227.99
DESINFETANTE BOLTZ LAVANDA 5L,77.0,1227.64
AMACIANTE DILUIDO STILL CARINHO 2L,182.0,1227.56
LIMPADOR PERFUMADO DU REI AMORE 2L,252.0,1227.52
AMACIANTE CONCENTRADO GIORNO 1L,51.0,1227.47
DEFINTETANTE PET CREOLINA PEARSON 12X50ML,69.0,1227.24
AGUA SANITARIA AYLAG 5L,88.0,1225.14
DESINFETANTE BRILHO PRATICO TRADICIONAL 500ML,292.0,1224.28
ODORIZADOR DE ROUPA DOMLINE LAVANDA E CEDRO 300ML,101.0,1223.5
DESINFETANTE BIO-KRISS LAVANDA 2L,235.0,1220.95
SABAO EM PO MINUANO ACAO PROFUNDA 1KG,101.0,1218.93
DETERGENTE LIQUIDO URCA CLEAR 500ML,657.0,1218.31
DETERGENTE LIQUIDO LIMPOL LIMAO 500ML,605.0,1215.87
DETERGENTE LIQUIDO FLOPS NEUTRO 500ML,638.0,1215.22
LIMPADOR PISCINA ATCLLOR ELEVADOR DE PH 1L,50.0,1214.12
DETERGENTE LIQUIDO MAXPOL NEUTRO 500ML,742.0,1213.88
AMACIANTE DILUIDO QBOA CARINHO ROSA 2L,201.0,1212.31
LIMPADOR PET PRO CANINE ELIMINADOR DE ODORES CITRONELA 2L,73.0,1212.26
DETERGENTE LIQUIDO LEVO LIMAO 5L,75.0,1212.23
LIMPADOR ESSENCIA CASA DE MAE JASMIN 120ML,106.0,1211.88
AMACIANTE DILUIDO PONTAL AMARELO 1L,297.0,1211.83
DESINFETANTE QUALYBRILL FLORAL 500ML,608.0,1211.76
SABAO LIQUIDO QUALYBRILL CONCETRADO SOFT E BLUE 2L,144.0,1208.34
DESINFETANTE TALIMPO VINOLIA 1L,311.0,1208.2
DESINFETANTE URCA PINHO 2L,175.0,1208.1
AMACIANTE DILUIDO IMPERIAL BABY 2L,204.0,1207.98
AMACIANTE DILUIDO ZAVASKI TALCO 5L,68.0,1207.88
LIMPADOR PET PRO CANINE ELIMINADOR DE ODORES FLORAL 2L,70.0,1206.34
AMACIANTE DILUIDO MINUANO CARINHO AZUL 12X500ML,41.0,1206.04
LIMPADOR MULTIUSO VEJA LAVANDA PG450ML LV 24X500ML,13.0,1203.6
DESINFETANTE TOP MIL FLORAL 2L,181.0,1203.35
DETERGENTE LIQUIDO DORIGON LIMAO 2L,118.0,1202.76
LIMPADOR PERFUMADO LEVO EUCALIPTO 500ML,437.0,1202.27
CLORO CRIS AGUA PCT 1 KG,30.0,1201.53
LIMPADOR ESSENCIA RAFI EUCALIPTO 200ML,85.0,1201.45
ALVEJANTE BRASQUIL SEM CLORO 2L,71.0,1201.09
DESINFETANTE MAZAL MARINE 2L,153.0,1200.85
REMOVEDOR GITANES 500ML,75.0,1200.6
LIMPADOR ESSENCIA GIORNO CONC DE SUPERFICIE VERBENA 120ML,75.0,1200.42
DESINFETANTE ASA DO BRASIL LAVANDA 5L,68.0,1199.16
LIMPADOR PERFUMADO CASAFLOR GLAMOUR 6X1.75L,25.0,1197.9
DESINFETANTE BARBAREX JASMIN 5L,84.0,1197.63
SABAO LIQUIDO PELLY SABON LIQ DOCE 500ML,61.0,1197.49
SABAO LIQUIDO BABY SOFT MAX VERDE 5L,31.0,1197.11
DESINFETANTE KIMAFLOR EUCALIPTO 5L,65.0,1196.63
DETERGENTE LIQUIDO CHEIRO BOM NEUTRO 5L,88.0,1196.57
LIMPEZA PESADA VEJA ORIGINAL LV500ML PG400ML 500ML,153.0,1196.3
DESINFETANTE CASA LIMPA FLORAL 2L,142.0,1193.98
SABAO LIQUIDO SAMY BEBE 500ML,76.0,1193.58
DETERGENTE LIQUIDO LEVO CLEAR 500ML,863.0,1193.37
LIMPEZA PESADA RADNAQ LIMPA ESTOFADO AERO 300ML,49.0,1192.07
AGUA SANITARIA MAYOR 5L,57.0,1191.65
DESINFETANTE CASA E CARINHO LAVANDA 1L,181.0,1191.22
DETERGENTE LIQUIDO BRANMIX LIMAO 24X500ML,31.0,1191.12
LIMPADOR ESSENCIA SO AROMAS CEREJA AVELA 140ML,175.0,1190.83
DESINFETANTE LUMI LAVANDA 5L,116.0,1190.0
SBPO BRILHANTE MULTI TECIDOS FRESH CM N/IDENT SC PL 1000G,85.0,1189.96
SABAO LIQUIDO LIQMIL 500ML,269.0,1189.27
SABAO EM PO BREEZE MULTIACAO 400G,369.0,1188.04
ALVEJANTE KLARIANA SEM CLORO 1L,165.0,1188.01
DESINFETANTE ATTO CAMPESTRE 2L,194.0,1187.89
SABAO LIQUIDO TELEFRANGO LIQ GREEN 3L,66.0,1187.34
AGUA SANITARIA UTIL 1L,394.0,1187.22
ALVEJANTE BIANCOLL SEM CLORO 1L,134.0,1187.1
LIMPADOR PERFUMADO LEVO SENSACAO 500ML,290.0,1186.76
DESINFETANTE LYSOL PINHO 500ML,47.492000000000004,1186.66
LIMPADOR PERFUMADO LEVO FLORAL 5L,97.0,1186.51
DETERGENTE LIQUIDO ESTRELA MACA 500ML,498.0,1184.56
TIRA MANCHA BIOWASH 350G,39.0,1184.12
DESINFETANTE SUPREMA EUCALIPTO 6X2L,48.0,1184.05
LIMPADOR MULTIUSO LUAR TRADICIONAL SQUEEZE 500ML,342.0,1183.38
DESINFETANTE PINHO SOL ORIGINAL 12X500ML,14.0,1182.82
DETERGENTE LIQUIDO PRAPISO MAX WHITE 1L,164.0,1182.14
LIMPADOR MULTIUSO QBOA TRADICIONAL 12X500ML,32.0,1181.71
DETERGENTE LIQUIDO YPE CLEAR 6X500ML + 3 ESPONJAS,497.0,1180.28
CLORO MAX LIMP 2LT,184.0,1180.26
DESINFETANTE RETIRO LAVANDA 2L,188.0,1179.97
"LIMPADOR PERFUMADO UAU BRISA E FRESCOR 1,8L",70.0,1178.74
DESENGORDURANTE ESSENCIAL 5LT,43.0,1177.96
LIMPADOR ESSENCIA CONCENTRADO COALA PINHO 120ML,115.0,1177.03
LIMPEZA PESADA SUPER CLEAN EVOLUTION 12X1L,16.0,1176.82
LIMPADOR MULTIUSO TUPI ZEROBAC D-LIMONENO 500ML,365.0,1176.65
LIMPADOR MULTIUSO ESFRELUX CLASSIC AZUL 500ML,244.0,1176.27
DESINFETANTE KIMAFLOR AMAZONIA GREEN 5L,60.0,1173.46
LIMPADOR PERFUMADO LEVO JASMIM 500ML,428.0,1173.39
CLORO GEL USE 2LT,64.0,1173.34
AMACIANTE CONCENTRADO DORIGON VERAO 1L,79.0,1172.99
DESINFETANTE STORK LAVANDA 2L,153.0,1172.26
AMACIANTE DILUIDO CENAP FLORAL 2L,128.0,1172.2
DESINFETANTE LIMPS FLORAL 500ML,414.0,1171.92
DESINFETANTE CLARUS TRADICIONAL 500ML,370.0,1171.74
DETERGENTE LIQUIDO GUAMA COCO 500ML,588.0,1171.73
DESINFETANTE BRINORT PINHO 6X2L,44.0,1171.68
DETERGENTE LIQUIDO YPE ALOE VERA 500ML,451.0,1171.35
DESINFETANTE BRIIZ PRIMAVERA 5L,101.0,1171.23
DETERGENTE LIQUIDO POLLUX ECONOMIC MACA 5L,58.0,1170.93
"AMACIANTE DILUIDO MON BIJOU 3 EM 1 6X1,7L",32.0,1170.22
DESENGORDURANTE ZAVASKI LARANJA REFIL 500ML,144.0,1170.13
AGUA SANITARIA DA CASA BRANCA 12X1L,49.0,1169.16
LIMPADORES PISCINA CLORO HIDROALL TABLETE 3 EM 1 200G,102.0,1169.08
ALVEJANTE LG QUIMICA SEM CLORO 5L,52.0,1168.48
ALVEJANTE ESSENCIAL SEM CLORO ROUPAS COLORIDAS 5L,60.0,1168.06
AGUA SANITARIA KADAN PET 5L,103.0,1166.9
AGUA SANITARIA LIDER 1L,348.0,1165.32
AMACIANTE DILUIDO AMACILUX ACONCHEGO E CONFORTO 2L,151.0,1164.67
DESINFETANTE ARCHOTE EUCALIPTO 5L,85.0,1164.52
AMACIANTE DILUIDO ROUPA E CARINHO TERNURA  2L,161.0,1164.11
CLORO LUMINOSA EXTRA FORTE 1000ML,322.0,1163.63
DESINFETANTE QUIMITOL CONCENTRADO REALEZA 100ML,91.0,1161.87
DETERGENTE LIQUIDO ATRIUS NEUTRO 1L,276.0,1161.14
DETERGENTE LIQUIDO ACQUA PLUS NEUTRO 5L,69.0,1160.67
LIMPADOR PERFUMADO CASAFLOR ORQUIDEA NEGRA 12X500ML,33.0,1160.56
REMOVEDOR SAFRA JASMIM 500ML,81.0,1160.53
DETERGENTE LIQUIDO ARGUS NEUTRO 2L,41.0,1159.58
DETERGENTE LIQUIDO LIMPOL NEUTRO 4X5L,13.0,1159.3
LIMPADOR MULTIUSO JAGUAR ACIDO MURIATICO 1L,242.0,1159.25
SABAO LIQUIDO LEVO DELICATE 1L,148.0,1158.91
SABAO LIQUIDO JOB COCO GEL 2L,70.0,1157.61
SABAO LIQUIDO IAPO AÇÃO PROFUNDA 3L,68.0,1156.3
DESINFETANTE QUIMITOL CONCENTRADO LAVANDA 100ML,91.0,1155.79
ESSENCIA LIMPADUA ORIENTAL 200ML,83.0,1155.57
DETERGENTE LIQUIDO LINTAX LIMAO 2L,200.0,1154.79
CLORO BRASQUIL 2LT,91.0,1153.56
AMACIANTE CONCENTRADO AMACITEL CERISE 500ML,98.0,1152.04
LIMPADOR PERFUMADO KIMAX AMAVILE 1L,155.0,1151.48
REAX LIMPA CHAPAS 2LT REMOVEDOR,18.0,1150.73
DESINFETANTE ATTO LAV 2L,184.0,1150.68
LIMPADOR MULTIUSO BRAVO PISO CERAMICA 400ML,98.0,1150.59
LIMPADOR PISCINA ATCLLOR REDUTOR DE PH E ALCALINIDADE 1L,40.0,1150.14
AMACIANTE DILUIDO CEVO 2L,120.0,1149.88
LIMPADOR PERFUMADO AQUAPLUS LAVANDA 2L,107.0,1149.79
AMACIANTE CONCENTRADO DOWNY NATURALS COCO E MENTA 450ML,79.0,1149.31
DESINFETANTE AYLAG PINHO GEL 2L,85.0,1149.28
AGUA SANITARIA VITORIA 5L,100.0,1148.93
LIMPADOR PERFUMADO FACILITA JARDIM DE TULIPAS 1L,173.0,1148.75
LIMPADOR MULTIUSO PERFECTO REFIL 500ML,81.0,1148.21
AGUA SANITARIA LIDER 2L,175.0,1148.15
LIMPADOR ESSENCIA KINTANA PINHO 100ML,136.0,1146.54
DETERGENTE LIQUIDO GAROTO COCO 500ML,646.0,1146.53
SABAO LIQUIDO SONHO ROSA 500ML,76.0,1146.07
SABAO LIQUIDO BRIFORT CONCENTRADO VERDE 6X2L,29.0,1146.06
CLORO BLUMENAU UTIL 1L,175.0,1146.02
DESINFETANTE LIPON LAVANDA 2L,182.0,1145.86
DETERGENTE LIQUIDO URCA CLEAR 5L,57.0,1145.72
DESINFETANTE VOREL PERFORM SPRAY 500ML,93.0,1144.32
SABAO LIQUIDO POP VERDE 5L,84.0,1143.75
DESINFETANTE TODO BOM JASMIM 500ML,409.0,1142.91
"AMACIANTE DILUIDO FLOM TRADICIONAL 1,8L",32.0,1142.71
DETERGENTE LIQUIDO TUPA VERDE 2L,137.0,1142.32
LIMPADOR PERFUMADO LOURO LAVANDA 5L,60.0,1141.6
AMACIANTE CONCENTRADO CANDURA PURO CARINHO GARRAFA 500ML,147.0,1141.58
AGUA SANITARIA ALIANCA 2L,187.0,1141.44
DESINFETANTE MIL JASMIM 1L,297.0,1141.44
AMACIANTE DILUIDO PONTAL AMARELO 2L,151.0,1141.07
DESINFETANTE NIDA CLEAN TRADICIONAL 500ML,266.0,1138.88
DETERGENTE LIQUIDO PRINCESA LIMAO 500ML,598.0,1138.38
DESINFETANTE PINHO BRIL FLORES DE LIMAO 12X1L,11.0,1138.27
AMACIANTE CONCENTRADO MARILUX CLASSIC E AMOR 5L,72.0,1136.93
DESINFETANTE CASA E CARINHO PINHO 2L,129.0,1136.71
LIMPADOR PERFUMADO LIMPA MIL GEL LIMAO 1L,110.0,1136.53
DESINFETANTE JOB FRESCOR DA MANHA 2L,222.0,1136.51
AGUA SANITARIA LIMPINHA 2L,138.0,1136.35
LIMPADOR ESSENCIA QUIM AROMA CAMPESTRE 140ML,119.0,1135.83
SABAO LIQUIDO SANOL 2X1L + AMACIANTE PLUSH 500ML,53.0,1135.19
SABAO EM PO ALA LIMAO E BICARBONATO 16X800G,12.0,1134.96
LIMPADOR MULTIUSO TOP CASA EFEITO MICELAR 500ML,338.0,1134.62
AMACIANTE CONCENTRADO NIDA ROXO 1L,71.0,1134.0
SABAO EM PO TULY COCO 500G,413.0,1132.47
DESINFETANTE SUPER CLEAN LAVANDA 2L,135.0,1132.3
AGUA SANITARIA MAX LIMP CLORO ATIVO 2L,200.0,1132.28
SABAO LIQUIDO BRILHA SUL GREEN 2L,76.0,1132.12
DESINFETANTE CASA LIMPA TALCO 2L,136.0,1130.78
LIMPEZA PESADA CATARINA CLORADO 5L,37.0,1129.55
LIMPADOR MULTIUSO LIMPOL LAVANDA 12X500ML,25.0,1129.2
AMACIANTE DILUIDO MAX CLEAR CONFORTO  1L,267.0,1128.85
ALVEJANTE BIO NATURE SEM CLORO 2L,99.0,1128.72
DESINFETANTE SOL PINHO LAVANDA 1L,379.0,1128.63
DETERGENTE LIQUIDO BRILUX MACA 24X500ML,25.0,1128.52
DETERGENTE LIQUIDO HIGILAR NEUTRO 5L,44.0,1127.43
AGUA SANITARIA LIMP LAR 2L,218.0,1126.65
AMACIANTE CONCENTRADO TUFF SUBLIME MAGIA 3L,54.0,1126.0
DETERGENTE LIQUIDO LINTAX COCO 2L,195.0,1125.72
DETERGENTE LIQUIDO FLORESTA DA SERRA MACA 2L,139.0,1125.57
LIMPADOR MULTIUSO LUAR CAMPESTRE SPRAY 500ML,324.0,1125.56
AMACIANTE DILUIDO FLOPS AZUL 2L,182.0,1124.78
LIMPADOR PERFUMADO MAXIMO BRILHO BRISA LAVANDA 200ML,283.0,1123.79
SABAO LIQUIDO ZOMAX DE ALCOOL 2L,66.0,1123.27
SABAO LIQUIDO ANIL 5L,21.0,1122.35
ALVEJANTE Q LAR SEM CLORO MULTIUSO 1L,161.0,1121.01
TIRA MANCHA PLUSH OXY2 PRE-LAVAGEM 900G,36.0,1120.21
AMACIANTE DILUIDO ROUPA E CARINHO DELICADO 2L,157.0,1120.09
DESINFETANTE GUARANI EUCALIPTO 500ML,500.0,1119.18
DETERGENTE LIQUIDO FC NEUTRO 500ML,599.0,1118.6
LIMPADOR DE PISCINA DICLORO GRANULADO REFIL HIDROAZUL 1KG,30.0,1118.06
LIMPADOR ESSENCIA QUIM AROMA ALFAZEMA 140ML,125.0,1118.04
DESINFETANTE ULTRALAR LAVANDA 500ML,352.0,1117.85
SABAO EM PO MAX FLORES 6EM1 400G,302.0,1117.82
LIMPADOR PERFUMADO CASA PERFUMADA COM ALCOOL JASMINE 500ML,89.0,1116.97
DESINFETANTE CHEIRO BOM ALGAS 2L,168.0,1116.68
SABAO LIQUIDO TIXAN YPE MACIEZ 12X900ML,10.0,1116.36
DETERGENTE LIQUIDO VIDA NOVA NEUTRO 2L,166.0,1116.24
DESINFETANTE CERGRAN FLORAL 2L,216.0,1116.12
DESINFETANTE ALVEJAXX JASMIM VERMELHO 5L,68.0,1116.04
AMACIANTE DILUIDO MONTE LAGOS 5L,60.0,1114.62
DESINFETANTE CERGRAN LAVANDA 2L,223.0,1114.32
LIMPEZA PESADA LIMPADUA PINHO GEL 5L,29.0,1114.05
DESINFETANTE NOVO LAR FRESH 2L,162.0,1113.03
LIMPADOR PERFUMADO BEM BOM NARDO 2L,207.0,1112.16
AGUA SANITARIA VERAO 2000ML,185.0,1111.29
CLORO SUPERCLOR CLOR UP 1KG PISCINA,60.0,1110.54
DESINFETANTE TANLUX PINHO 2L,212.0,1110.53
AGUA SANITARIA MIMO FRASCO 2L,247.0,1110.39
SABAO LIQUIDO CASA LIMPA 2L,49.0,1110.19
SBPO OMO COMF CLASSIC 1000G,75.0,1109.69
AMACIANTE DILUIDO TRES BARRAS AZUL 2L,140.0,1109.43
DESINFETANTE ASTOLLI LAVANDA 2L,179.0,1107.31
AGUA SANITARIA MIL FLORES 2L,174.0,1107.07
DESINFETANTE PINHO SOL MULTIUSO LIMAO 500ML,113.0,1107.04
AMACIANTE DILUIDO BRILHA SUL 3L,88.0,1106.34
DESINFETANTE GIOCA MARINE 500ML,307.0,1106.28
LIMPADOR MULTIUSO UAU FOLHAS VERDES SQZ 500ML,192.0,1106.06
DESINFETANTE GUIMARAES NEUTRALIZA ODORES 5L,32.0,1106.05
DESINFETANTE G LIMP DA NOITE 2L,235.0,1106.01
DESINFETANTE GLOBO ORVALHO 2L,158.0,1105.68
DESINFETANTE NIDA CLEAN FLORAL 500ML,265.0,1105.37
DESINFETANTE TOP MIL PINHO 2L,171.0,1103.75
DESINFETANTE HERBAL ALE 2L,80.0,1102.91
AMACIANTE DILUIDO BEBE E CARINHO AMENDOAS 1L,134.0,1101.79
LIMPADOR MULTIUSO BIOWASH CAPIM LIMAO 650ML,58.0,1101.43
DETERGENTE LIQUIDO VIDA CLEAR 24X500ML,31.0,1100.4
ALVEJANTE DEION SEM CLORO ROSA 5L,41.0,1099.31
DESINFETANTE DULAGO TALCO 1L,366.0,1099.19
DETERGENTE LIQUIDO LINTAX NEUTRO 2L,187.0,1099.03
AMACIANTE DILUIDO BABY BETTY AZUL 2L,166.0,1098.48
"LIMPADOR PERFUMADO STILL CLEAN  PAIXAO 1,75L",111.0,1098.15
LAVA ROUPA LIQUIDO ARIEL SCH 700ML  3EM1,98.0,1096.93
AGUA SANITARIA QBELLA 5L,70.0,1096.67
"AMACIANTE CONCENTRADO ZUPP VELVET SECRETS 1,5L",45.0,1096.23
LIMPADOR MULTIUSO LIMPOL LIMAO 12X500ML,24.0,1095.9
DESINFETANTE TRID NEUTRO 2L,112.0,1095.82
SABAO LIQUIDO MAIS LIMPEZA AZUL 2L,138.0,1095.45
ALVEJANTE FUZETTO SEM CLORO 1L,164.0,1095.08
LIMPADOR PERFUMADO LEVO JASMIM 5L,88.0,1094.63
LIMPADOR PERFUMADO RADIANTE LIRIOS DO CAMPO 500ML,250.0,1093.04
DET PO OMO L2KG P1.8KG MULTIACAO,51.0,1092.56
AMACIANTE DILUIDO SUPER LAR AZUL 5L,71.0,1092.1
AGUA SANITARIA MAGIC ACQUA 5L,87.0,1091.55
DETERGENTE LIQUIDO TRIEL NEUTRO 500ML,612.0,1091.53
LIMPADOR ESSENCIA QUIM AROMA TALCO 100ML,137.0,1091.25
LIMPADOR PERFUMADO LA VILLE BIARRITZ 2L,194.0,1091.12
SABAO LIQUIDO ABA PLUS DE COCO 2L,134.0,1091.03
LIMPADOR ESSENCIA NOVO FRESCOR PREM FLORAL 140ML,94.0,1090.13
AMACIANTE DILUIDO NUTRILAR COLO DE MAE 2L,126.0,1090.03
LIMPADOR PISCINA BEL CLORO GRANULADO BALDE 10KG,5.0,1089.5
DESINFETANTE NUTRILAR CEREJEIRA 1L,316.0,1089.47
SABAO EM PO POLYLAR 2KG,72.0,1089.07
DESINFETANTE TRIEL LAVANDA 2L,243.0,1088.38
ALVEJANTE SOLARQUIM 5L,71.0,1087.96
AMACIANTE DILUIDO CAMPESTRE AZUL 2L,153.0,1087.11
DESENGORDURANTE DONA CLARA MULTIUSO 500ML,175.0,1086.85
DETERGENTE LIQUIDO ATTO MACA 2L,134.0,1086.76
DETERGENTE LIQUIDO GAROTO MACA 500ML,607.0,1082.65
DESINFETANTE ESTRELA CITRUS 2L,145.0,1082.5
CLORO LG 5L,59.0,1082.01
DESINFETANTE MAX 1000 CHEIRO FRAG DIVE 120ML,284.0,1080.97
"AMACIANTE DILUIDO SONHO MAGIC GARRAFA L2P1,6 6X2L",24.0,1080.36
DETERGENTE LIQUIDO MAZA LIMAO 500ML,592.0,1080.1
